Plot,Trt No,Replication,N.dose,B.dose,Treatment,Germination,No.leaf.27.das,No.leaf.34das,No.leaf.41das,No.leaf.48das,No.leaf.55das,No.leaf62das,P.height.cm.27das,P.height.cm.34das,P.height.cm.41das,P.height.cm.48das,P.height.cm.55das,P.height.cm.62das,Harvest.leaf.length.cm.1,Harvest.leaf.length.cm.2,Root.yld.per.plot.kg,Root.yld.kg.per.ha,Bolting.per.plot,DM.root.1,DM.root.2,Root.yld.per.plot,,T_yld
1,1,1,N0,B0,N0B0,55.75,5.8,7.6,11.1,12.7,15,17.9,14.76,19.1,22.37,23.16,23.32,23.48,43.7,23.26666667,1.981,14150,16,3.2,7.116666667,1.5,,1.4
2,2,1,N0,B1,N0B1,61.25,5.2,6.8,11,13.2,15.6,18.5,15.16,18.9,21.99,23.09,23.28,24.66,27.6,18.8,1.748,12485.71429,20,3.78,6.24,1.8,,1.76
3,3,1,N0,B2,N0B2,57.25,5.3,7.5,11.7,13.7,16.3,19.8,15.15,18.63,22.6,23.45,23.85,23.97,24.8,30.8,2.091,14935.71429,12,2.843333333,7.143333333,2.3,,2.41
4,4,1,N0,B3,N0B3,56,5.5,6.9,10.8,12.9,15.6,18.9,13.4,17.75,22.22,22.98,23.44,24.01,30.86666667,27.06666667,3.106,22185.71429,20,3.796666667,5.136666667,2.5,,2.54
5,5,1,N1,B0,N1B0,55.75,5.5,7.1,11.1,13.7,17.1,20.1,13.49,17.78,22.18,26.05,28.34,29.08,38.2,32.5,3.204,22885.71429,21,3.576666667,9.376666667,1.9,,3.2
6,6,1,N1,B1,N1B1,57,5.8,7.2,10.3,13.1,15.1,21,13.06,17.61,19.88,20.29,20.95,21.3,39.93333333,28.1,1.594,11385.71429,23,2.95,7.54,2.1,,2.14
7,7,1,N1,B2,N1B2,56.25,5,7.4,11.9,14.4,16.4,20.8,14.63,18.78,22.36,22.91,25.22,25.37,27.9,34.8,2.478,17700,22,4.493333333,9.816666667,2.6,,2.71
8,8,1,N1,B3,N1B3,53.75,4.7,7.4,10.2,13,16.2,19.8,14.27,18.9,22.96,23.32,24.36,25.03,26.1,45.16666667,1.976,14114.28571,22,3.883333333,7.183333333,3,,3.12
9,9,1,N2,B0,N2B0,54.75,5.1,6.7,11,14,17.4,21.1,15.15,19.97,24.01,26.64,32.13,32.85,24.5,35.53333333,2.956,21114.28571,22,4.013333333,10.70333333,2.5,,2.48
10,10,1,N2,B1,N2B1,53,4.2,7.5,10.4,12.9,15.6,20.1,13.37,17.44,21.51,23,28.43,30.84,36.03333333,34.63333333,2.836,20257.14286,27,3.583333333,7.976666667,2.9,,2.87
11,11,1,N2,B2,N2B2,50.25,5.2,7.5,11.8,15.6,19.6,22.1,14.9,19.65,24.21,28.91,34.28,35.69,25.03333333,37.96666667,3.495,24964.28571,24,5.72,8.03,3.3,,3.28
12,12,1,N2,B3,N2B3,54,5.2,6.7,11.8,14.8,28.6,21.5,14.44,19.34,24.69,29.01,34.38,35.87,35.06666667,44.66666667,3.71,26500,18,3.486666667,9.283333333,3.5,,3.55
13,13,1,N3,B0,N3B0,49.25,5.4,7.7,11.5,15,18.6,21.6,14.88,19.25,23.83,26.55,35.21,39.15,33.53333333,49.63333333,3.489,24921.42857,17,5.436666667,7.856666667,3.1,,2.98
14,14,1,N3,B1,N3B1,44,5,6.9,11.6,13.9,17.3,20.7,14.55,19.58,23.14,24.86,33.19,38.82,25.46666667,41.36666667,3.492,24942.85714,25,3.393333333,6.253333333,3.6,,3.58
15,15,1,N3,B2,N3B2,47,5.6,7.4,11,13.2,16.7,21.7,14.98,18.54,23,23.63,30.9,37.46,20.33333333,42.66666667,2.819,20135.71429,23,2.956666667,9.16,3.9,,3.87
16,16,1,N3,B3,N3B3,55,5.9,7.1,12.7,16.6,20.5,23.9,15.44,20.2,25.11,30.37,37.1,42.79,38.8,58.1,3.58,25571.42857,22,4.62,10.94333333,4.2,,4.2
